,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
214,0.07831268310546875,0.0328677745254858,0.0,0.0,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 7}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
215,0.0787971019744873,0.03884865043491504,0.0,0.0,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 8}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
216,0.09087920188903809,0.04610119009331818,0.0,0.0,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 9}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
217,0.0812309741973877,0.04878261714349406,0.0,0.0,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
218,0.07487711906433106,0.03626402115211753,0.00019974708557128905,0.0003994941711425781,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 15}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
219,0.07798604965209961,0.042065686710610894,0.003323650360107422,0.006161221214582903,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 20}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
220,0.08460421562194824,0.037918614074245544,0.0,0.0,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 25}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
221,0.0812307357788086,0.03479027990057313,0.003124237060546875,0.00624847412109375,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 30}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
222,0.08798670768737793,0.0417276754031047,0.0,0.0,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 35}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
223,0.08171138763427735,0.041547875802968724,0.0,0.0,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 40}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
224,0.08382511138916016,0.039184067034444076,0.00019931793212890625,0.0003986358642578125,0.001,"(50,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 45}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
225,0.08420052528381347,0.03571039482354368,0.0031242847442626955,0.006248569488525391,0.001,"(50,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 50}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
226,0.08781571388244629,0.041630221008347124,0.0,0.0,0.001,"(50,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 55}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
227,0.0874795913696289,0.040253108274160766,0.0,0.0,0.001,"(50,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 60}",0.25000000000000006,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,6.037350400778013e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
228,0.02113180160522461,0.007515446576539914,0.000399017333984375,0.0004886944566570865,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",0.25,0.25,0.24999999999999994,0.2499999999999999,0.25,0.25,5.487307082371866e-17,196,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
229,0.0249941349029541,0.00765278667097167,0.0,0.0,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 3}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.25,0.24999999999999997,7.480041190591211e-17,276,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
